NCIt Subset Code	NCPDP Subset Preferred Term	NCIt Code	NCPDP Preferred Term	NCPDP Synonym	NCIt Preferred Term	NCI Definition
C89508	NCPDP StrengthForm Terminology	C69002	Compressed Sugar Coated Caplet		Compressed Sugar Coated Caplet Dosage Form	A tablet that has been compacted into capsule shape and covered in sugar.
C89508	NCPDP StrengthForm Terminology	C60891	Concentrated		Concentrated Dosage Form	A solution or suspension composed of active and/or inert ingredient(s) with increased strength in a reduced volume, which is usually diluted prior to administration.
C89508	NCPDP StrengthForm Terminology	C42899	Concentrated Injectable Solution		Concentrated Injectable Solution Dosage Form	A concentrate which is usually diluted prior to administration by injection.
C89508	NCPDP StrengthForm Terminology	C69001	Concentrated Oral		Concentrated Oral Dosage Form	A concentrate that usually requires dilution prior to oral administration.
C89508	NCPDP StrengthForm Terminology	C42898	Concentrated Solution		Concentrated Solution Dosage Form	A concentrate which is usually diluted prior to administration and exists as a solution in its final form.
C89508	NCPDP StrengthForm Terminology	C42900	Cone		Cone Dosage Form	A solid with a shape bounded by a circular base converging upon a single vertex.
C89508	NCPDP StrengthForm Terminology	C42731	Controlled Release		Controlled Release Dosage Form	A solid, semi-solid, solution or suspension designed to release active and/or inert ingredient(s) at a controlled rate.
C89508	NCPDP StrengthForm Terminology	C69024	Controlled Release Capsule		Controlled Release Capsule Dosage Form	A capsule designed to release active and/or inert ingredient(s) at a controlled rate.
C89508	NCPDP StrengthForm Terminology	C69026	Controlled Release Liquid		Controlled Release Liquid Dosage Form	A solution or suspension designed to release active and/or inert ingredient(s) at a controlled rate.
C89508	NCPDP StrengthForm Terminology	C69025	Controlled Release Tablet		Controlled Release Tablet Dosage Form	A tablet designed to release active and/or inert ingredient(s) at a controlled rate.
C89508	NCPDP StrengthForm Terminology	C28944	Cream		Cream Dosage Form	A semi-solid composed of an emulsion of lipids, hydrocarbons, waxes, or polyols in water.
C89508	NCPDP StrengthForm Terminology	C42901	Crystal		Crystal Dosage Form	A solid that consists of naturally produced angular solids composed of singular, repeating units that are systematically arranged in an evenly spaced lattice.
C89508	NCPDP StrengthForm Terminology	C64881	Cube		Cube Dosage Form	A solid or semi-solid in the shape of a three dimensional square.
C89508	NCPDP StrengthForm Terminology	C45415	Culture		Culture Dosage Form	A solution, suspension or semi-solid composed of media conducive to microbial growth.
C89508	NCPDP StrengthForm Terminology	C68949	Degradable Controlled Release Capsule		Degradable Controlled Release Capsule Dosage Form	A capsule designed to dissolve after releasing the active and/or inert ingredient(s) at a controlled rate.
C89508	NCPDP StrengthForm Terminology	C42730	Delayed Release		Delayed Release Dosage Form	A solid, semi-solid, solution or suspension that has been coated with a substance that is designed to impede the immediate release of the active and/or inert ingredient(s) after administration.
C89508	NCPDP StrengthForm Terminology	C42902	Delayed Release Capsule		Delayed Release Capsule Dosage Form	A capsule covered with a substance that is designed to impede the immediate release of the active and/or inert ingredient(s) after administration.
C89508	NCPDP StrengthForm Terminology	C42903	Delayed Release Granule		Delayed Release Granule Dosage Form	A solid composed of small particles or grains and have been coated with a substance that is designed to impede the immediate release of the active and/or inert ingredient(s) after administration.
C89508	NCPDP StrengthForm Terminology	C42997	Delayed Release Particle Tablet		Delayed Release Particle Tablet Dosage Form	A tablet composed of individual fragments have been coated with a substance that is designed to impede the immediate release of the active and/or inert ingredient(s) after administration.
C89508	NCPDP StrengthForm Terminology	C42904	Delayed Release Pellet in Capsule		Delayed Release Pellet in Capsule Dosage Form	A capsule composed of active and/or inert ingredient(s) small, spherical structures that have been coated with a substance that is designed to impede the immediate release of the active and/or inert ingredient(s) after administration.
C89508	NCPDP StrengthForm Terminology	C42905	Delayed Release Tablet		Delayed Release Tablet Dosage Form	A tablet that has been coated with a substance that is designed to impede the immediate release of the active and/or inert ingredient(s) after administration.
C89508	NCPDP StrengthForm Terminology	C69059	Dental		Dental Dosage Form	An substance intended for use on the teeth or gingiva in the oral cavity.
C89508	NCPDP StrengthForm Terminology	C68954	Dental Cone		Dental Cone Dosage Form	A solid bounded by a circular base converging upon a single vertex and intended for administration to the teeth and gingiva in the oral cavity.
C89508	NCPDP StrengthForm Terminology	C45413	Dental Liner		Dental Liner Dosage Form	A resinous film-forming agent dissolved in a solvent or a calcium hydroxide suspension within a synthetic resin solution, which rapidly hardens into a firm mass upon administration.
C89508	NCPDP StrengthForm Terminology	C42906	Dentifrice Gel		Dentifrice Gel Dosage Form	A gel intended for use in the oral cavity to clean the teeth and maintain oral hygiene.
C89508	NCPDP StrengthForm Terminology	C42907	Dentifrice Paste		Dentifrice Paste Dosage Form	A paste of mild abrasives, detergents, flavoring agents, binders, fluoride, and other active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C42908	Dentifrice Powder		Dentifrice Powder Dosage Form	A powder composed of a mild abrasives, detergents, flavoring agents, binders, fluoride, and other active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C42740	Diffusion Controlled Extended Release		Diffusion Controlled Extended Release Dosage Form	A solid, semi-solid, solution or suspension covered with an outer permeable polymeric membrane designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency. Water permeates through the membrane to the core to dissolve the ingredient(s) which subsequently exit the membrane at a rate determined by their solubility and the thickness and porosity of the membrane.
C89508	NCPDP StrengthForm Terminology	C43525	Disc		Disc Dosage Form	A flat, circular shaped form composed of a solid or powder that contains active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C69071	Disintegrating Tablet		Disintegrating Tablet Dosage Form	A tablet that dissolves or melts quickly (usually within a matter of seconds) when it comes into contact with a liquid.
C89508	NCPDP StrengthForm Terminology	C42756	Dispensing Tablet		Dispensing Tablet Dosage Form	A tablet composed of a large amount of active and/or inert ingredient(s) that can be used in compounding prescriptions to ensure accurate quantity of ingredient within the final, compounded form.
C89508	NCPDP StrengthForm Terminology	C42741	Dissolution Controlled Extended Release		Dissolution Controlled Extended Release Dosage Form	A solid, semi-solid, solution or suspension composed of active and/or inert ingredient(s) covered with or contained within a polymeric matrix such that dissolution is determined by the solubility rate of the given polymer. It is designed to release ingredients at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42679	Douche		Douche Dosage Form	A substance intended for use as a vaginal irrigant.
C89508	NCPDP StrengthForm Terminology	C69033	Douche Powder		Douche Powder Dosage Form	A powder which may be mixed with a liquid, intended for administration as a vaginal irrigant.
C89508	NCPDP StrengthForm Terminology	C69032	Douche Solution		Douche Solution Dosage Form	A solution intended for use as a vaginal irrigant.
C89508	NCPDP StrengthForm Terminology	C42763	Dressing		Dressing Dosage Form	A substance intended for administration in or on a wound.
C89508	NCPDP StrengthForm Terminology	C29012	Drop		Drop Dosage Form	A substance intended for administration in a drop-wise fashion.
C89508	NCPDP StrengthForm Terminology	C60992	Drop Solution		Drop Solution Dosage Form	A solution intended for administration in a drop-wise fashion.
C89508	NCPDP StrengthForm Terminology	C60995	Drop Suspension		Drop Suspension Dosage Form	A suspension intended for administration in a drop-wise fashion.
C89508	NCPDP StrengthForm Terminology	C68997	Drop Suspension Final		Drop Suspension Final Dosage Form	A suspension prepared immediately prior to dispensing or administration in a drop-wise fashion.
C89508	NCPDP StrengthForm Terminology	C64883	Dusting Powder		Dusting Powder Dosage Form	A powder intended to be dusted over the outer surface of the body.
C89508	NCPDP StrengthForm Terminology	C42909	Effervescent Granule		Effervescent Granule Dosage Form	A granule composed of active and/or inert ingredient(s), and a mixture of acids and sodium bicarbonate, which release carbon dioxide when dissolved in water.
C89508	NCPDP StrengthForm Terminology	C64884	Effervescent Powder		Effervescent Powder Dosage Form	A powder composed of active and/or inert ingredient(s), and a mixture of acids and sodium bicarbonate, which release carbon dioxide when dissolved in water.
C89508	NCPDP StrengthForm Terminology	C42910	Effervescent Tablet		Effervescent Tablet Dosage Form	A tablet composed of active and/or inert ingredient(s), and a mixture of acids and sodium bicarbonate, which release carbon dioxide when dissolved in water.
C89508	NCPDP StrengthForm Terminology	C42911	Electrically Controlled Extended Release Patch		Electrically Controlled Extended Release Patch Dosage Form	A patch that composed of active and/or inert ingredient(s) whose release is controlled by electronic impulses that release ingredients at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42912	Elixir		Elixir Dosage Form	A solution composed of a clear, sweetened hydroalcoholic liquid in which active and/or inert ingredient(s) are dissolved.
C89508	NCPDP StrengthForm Terminology	C42913	Emulsion		Emulsion Dosage Form	A semi-solid composed of at least two immiscible liquids, one of which is dispersed as droplets within the other liquid, and stabilized with one or more emulsifying agents.
C89508	NCPDP StrengthForm Terminology	C42914	Emulsion for Injection		Emulsion for Injection Dosage Form	An emulsion intended for injection.
C89508	NCPDP StrengthForm Terminology	C42915	Enema		Enema Dosage Form	A solution or suspension intended for administration into the rectum.
C89508	NCPDP StrengthForm Terminology	C64885	Enema Powder		Enema Powder Dosage Form	A powder that is suspended in liquid prior to administration to the rectum.
C89508	NCPDP StrengthForm Terminology	C64871	Enema Tablet		Enema Tablet Dosage Form	A tablet that is suspended in liquid prior to administration to the rectum.
C89508	NCPDP StrengthForm Terminology	C68945	Enteric Coated Capsule		Enteric Coated Capsule Dosage Form	A capsule covered with a substance that is designed to delay the release of active and/or inert ingredient(s) until the capsule passes into the intestines.
C89508	NCPDP StrengthForm Terminology	C42758	Enteric Coated Tablet		Enteric Coated Tablet Dosage Form	A tablet covered with a substance that is designed to delay the release of active and/or inert ingredient(s) until the tablet passes into the intestines.
C89508	NCPDP StrengthForm Terminology	C42742	Erosion Controlled Extended Release		Erosion Controlled Extended Release Dosage Form	A solid, semi-solid, solution or suspension in which active and/or inert ingredient(s) release is controlled by the erosion rate of a carrier matrix, which is designed to release ingredients at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42713	Extended Release		Extended Release Dosage Form	A solid, semi-solid, solution or suspension designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C43451	Extended Release Bead Implant		Extended Release Bead Implant Dosage Form	A solid in the shape of a small sphere intended to be embedded securely in the body and designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42916	Extended Release Capsule		Extended Release Capsule Dosage Form	A capsule designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42917	Extended Release Coated Capsule		Extended Release Coated Capsule Dosage Form	A capsule covered with a thin layer of substance and is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42918	Extended Release Coated Pellet		Extended Release Coated Pellet Dosage Form	A pellet covered with a thin layer of substance that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42919	Extended Release Core		Extended Release Core Dosage Form	A solid or liquid core composed of active and/or inert ingredient(s) enclosed by a polymer coated shell. It is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C91140	Extended Release Enteric Coated Capsule		Extended Release Enteric Coated Capsule Dosage Form	An extended release capsule covered with a substance that is designed to delay the release of active and/or inert ingredient(s) until the capsule passes into the intestines.
C89508	NCPDP StrengthForm Terminology	C91141	Extended Release Enteric Coated Tablet		Extended Release Enteric Coated Tablet Dosage Form	A extended release tablet covered with a substance that is designed to delay the release of active and/or inert ingredient(s) until the tablet passes into the intestines.
C89508	NCPDP StrengthForm Terminology	C60926	Extended Release Fiber		Extended Release Fiber Dosage Form	A solid in the shape of a slender, elongated thread that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42920	Extended Release Film		Extended Release Film Dosage Form	A film that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42928	Extended Release Film Coated Capsule		Extended Release Film Coated Capsule Dosage Form	A capsule covered with a thin layer of water soluble or insoluble polymer and is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C60929	Extended Release for Suspension		Extended Release Dosage Form for Suspension	A substance that forms a suspension upon reconstitution and designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42935	Extended Release Gel Forming Solution		Extended Release Gel Forming Solution Dosage Form	A solution that becomes gelatinous upon administration and is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C69067	Extended Release Granule		Extended Release Granule Dosage Form	A solid in the shape of a small particle or grain designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42921	Extended Release Granule for Suspension		Extended Release Granule for Suspension Dosage Form	A granule intended for administration as a suspension and designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42922	Extended Release Insert		Extended Release Insert Dosage Form	An insert designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C60934	Extended Release Liquid		Extended Release Liquid Dosage Form	A solution or suspension that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42923	Extended Release Patch		Extended Release Patch Dosage Form	A patch designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42924	Extended Release Suppository		Extended Release Suppository Dosage Form	A suppository that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42925	Extended Release Suspension		Extended Release Suspension Dosage Form	A suspension that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42927	Extended Release Tablet		Extended Release Tablet Dosage Form	A tablet designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42929	Extract		Extract Dosage Form	A distillate composed of active and/or inert ingredient(s) extracted from plant or animal matter, and represented in concentrated form.
C89508	NCPDP StrengthForm Terminology	C42932	Film		Film Dosage Form	A thin layer of water soluble or insoluble polymer intended to coat the site of administration.
C89508	NCPDP StrengthForm Terminology	C42930	Film Coated Extended Release Tablet		Film Coated Extended Release Tablet Dosage Form	A tablet covered with a thin layer of water soluble or insoluble polymer and is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42931	Film Coated Tablet		Film Coated Tablet Dosage Form	A tablet covered with a thin layer of water soluble or insoluble polymer.
C89508	NCPDP StrengthForm Terminology	C68982	Flake		Flake Dosage Form	A solid composed of active and/or inert ingredient(s) that resembles small, thin chips.
C89508	NCPDP StrengthForm Terminology	C68991	Fluid Extract		Fluid Extract Dosage Form	A solution or suspension distillate composed of active and/or inert ingredient(s) extracted from plant or animal matter and alcohol as the solvent and/or preservative. Fluid extract is prepared by percolation and subsequent evaporation such that the ingredient in each milliliter of the fluid extract is equivalent to 1 gram of the dried plant or animal derived matter.
C89508	NCPDP StrengthForm Terminology	C64898	Foam		Foam Dosage Form	An aerated solution or suspension.
C89508	NCPDP StrengthForm Terminology	C64899	Foam Bath		Foam Bath Dosage Form	A solution or suspension that produces dense bubbles when combined with water.
C89508	NCPDP StrengthForm Terminology	C60927	for Solution		Dosage Form for Solution	A substance intended for administration as a solution.
C89508	NCPDP StrengthForm Terminology	C60928	for Suspension		Dosage Form for Suspension	A substance intended for administration as a suspension.
C89508	NCPDP StrengthForm Terminology	C68966	Frozen Premix Intravenous Piggyback Solution		Frozen Premix Intravenous Piggyback Solution Dosage Form	A solution that is reconstituted from a frozen pre-mixed form intended for intravenous administration simultaneously with an established compatible maintenance infusion drug by a mutual intravenous access.
C89508	NCPDP StrengthForm Terminology	C78748	Gargle		Gargle Dosage Form	A solution or suspension taken orally and moved around the back of the throat by tilting the head back and forcing air from the lungs through the solution. Unless specifically directed, the solution is expelled and not swallowed.
C89508	NCPDP StrengthForm Terminology	C42933	Gas		Gas Dosage Form	An elastic aeriform fluid in which the molecules are separated from one another and have freedom of movement.
C89508	NCPDP StrengthForm Terminology	C42934	Gel		Gel Dosage Form	A semi-solid composed of a solid, three dimensional, cross linked matrix of polymers within a liquid, yielding a jelly-like material unable to flow at steady state.
C89508	NCPDP StrengthForm Terminology	C60994	Gel Forming Drop Solution		Gel Forming Drop Solution Dosage Form	A solution intended for administration in a drop-wise fashion; it becomes gelatinous upon administration.
C89508	NCPDP StrengthForm Terminology	C68973	Gel Forming Solution		Gel Forming Solution Dosage Form	A solution that becomes a gelatinous liquid after administration.
C89508	NCPDP StrengthForm Terminology	C42936	Gelatin Coated Capsule		Gelatin Coated Capsule Dosage Form	A capsule covered with a thin layer of gelatin.
C89508	NCPDP StrengthForm Terminology	C64872	Gelatin Coated Tablet		Gelatin Coated Tablet Dosage Form	A tablet covered with a layer of gelatin.
C89508	NCPDP StrengthForm Terminology	C48193	Generator		Generator Dosage Form	An apparatus that converts solutions, suspensions or solids, composed of active and/or inert ingredient(s) into a vapor or gas by heat or chemical reaction.
C89508	NCPDP StrengthForm Terminology	C42937	Globule		Globule Dosage Form	A solid composed of sucrose, lactose or other polysaccharides formed into small globular pellets impregnated with active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C45416	Graft		Graft Dosage Form	A solid composed of a piece of skin or other tissue intended for implantation into or on the body.
C89508	NCPDP StrengthForm Terminology	C42938	Granule		Granule Dosage Form	A solid composed of small particles or grains.
C89508	NCPDP StrengthForm Terminology	C69066	Granule for Reconstitution		Granule for Reconstitution Dosage Form	A solid in the shape of a small particle or grain mixed with a liquid to form a solution or suspension before administration.
C89508	NCPDP StrengthForm Terminology	C42939	Granule for Solution		Granule for Solution Dosage Form	A granule intended for administration as a solution.
C89508	NCPDP StrengthForm Terminology	C42940	Granule for Suspension		Granule for Suspension Dosage Form	A granule intended for administration as a suspension.
C89508	NCPDP StrengthForm Terminology	C42941	Gum		Gum Dosage Form	A semi-solid composed of a sticky, mucilaginous polysaccharide.
C89508	NCPDP StrengthForm Terminology	C64904	Hard Capsule		Hard Capsule Dosage Form	A capsule covered with a rigid outer shell.
C89508	NCPDP StrengthForm Terminology	C64882	Homeopathic Globule		Homeopathic Globule Dosage Form	A solid composed of sucrose, lactose, or other polysaccharides formed into small globular pellets of uniform size which can be classified as homeopathic.
C89508	NCPDP StrengthForm Terminology	C42752	Hypodermic Tablet		Hypodermic Tablet Dosage Form	A tablet dissolved in solvent and intended for administration by hypodermic injection.
C89508	NCPDP StrengthForm Terminology	C42669	Immediate Release		Immediate Release Dosage Form	A solid, semi-solid, solution or suspension that is designed to release its active and/or inert ingredient(s) upon administration with no enhanced, delayed or extended release effect.
C89508	NCPDP StrengthForm Terminology	C42942	Implant		Implant Dosage Form	A solid intended for insertion securely within the body.
C89508	NCPDP StrengthForm Terminology	C42943	Implantable Pellet		Implantable Pellet Dosage Form	A pellet intended for insertion securely within the body.
C89508	NCPDP StrengthForm Terminology	C42944	Inhalant		Inhalant Dosage Form	Vaporized active and/or inert ingredient(s) intended for administration by inhalation.
C89508	NCPDP StrengthForm Terminology	C91142	Inhalant Powder		Inhalant Powder Dosage Form	Powdered medication inhaled as a measured dose.
C89508	NCPDP StrengthForm Terminology	C91143	Inhalant Solution		Inhalant Solution Dosage Form	Liquid medication intended to be inhaled.
C89508	NCPDP StrengthForm Terminology	C64879	Inhaler Capsule		Inhaler Capsule Dosage Form	A capsule composed of powders intended for oral inhalation. This dose form may also refer to capsules that are intended for use in inhalers.
C89508	NCPDP StrengthForm Terminology	C42946	Injectable		Injectable Dosage Form	A substance intended for injection.
C89508	NCPDP StrengthForm Terminology	C42926	Injectable Extended Release Suspension		Injectable Extended Release Suspension Dosage Form	A suspension intended for injection that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42950	Injectable Lipid Complex		Injectable Lipid Complex Dosage Form	A substance composed of complexed active and/or inert ingredient(s) with natural or synthetic lipids that is intended for injection.
C89508	NCPDP StrengthForm Terminology	C42951	Injectable Liposomal Suspension		Injectable Liposomal Suspension Dosage Form	A suspension composed of active and/or inert ingredient(s) encapsulated in liposomes and intended for injection.
C89508	NCPDP StrengthForm Terminology	C69037	Injectable Lyophilized Powder		Injectable Lyophilized Powder Dosage Form	A freeze dried powder intended for injection following reconstitution with a suitable solvent.
C89508	NCPDP StrengthForm Terminology	C42945	Injectable Solution		Injectable Solution Dosage Form	A solution intended for injection.
C89508	NCPDP StrengthForm Terminology	C42988	Injectable Sonicated Suspension		Injectable Sonicated Suspension Dosage Form	A suspension intended for injection and is sonicated while a gas is bubbled through the suspension resulting in the creation of microspheres by the solid particles.
C89508	NCPDP StrengthForm Terminology	C42995	Injectable Suspension		Injectable Suspension Dosage Form	A suspension intended for injection.
C89508	NCPDP StrengthForm Terminology	C60933	Insert		Insert Dosage Form	A solid or semi-solid intended for administration within the body.
C89508	NCPDP StrengthForm Terminology	C78793	Internal Powder		Internal Powder Dosage Form	A powder intended for use within the body.
C89508	NCPDP StrengthForm Terminology	C68971	Intraperitoneal Solution		Intraperitoneal Solution Dosage Form	A solution intended for administration into the intraperitoneal cavity.
C89508	NCPDP StrengthForm Terminology	C47915	Intrauterine Device		Intrauterine Device Dosage Form	A solid intended for placement within the uterine cavity where active and/or inert ingredient(s) are released from an apparatus at a controlled rate.
C89508	NCPDP StrengthForm Terminology	C68967	Intravenous Piggyback Solution		Intravenous Piggyback Solution Dosage Form	A solution intended for intravenous administration simultaneously with an established compatible maintenance infusion drug by a mutual intravenous access.
C89508	NCPDP StrengthForm Terminology	C68965	Intravenous Solution		Intravenous Solution Dosage Form	A solution composed of a homogenous liquid that contains active and/or inert ingredient(s) dissolved in a suitable solvent or mixture of mutually miscible solvents.
C89508	NCPDP StrengthForm Terminology	C42947	Irrigant		Irrigant Dosage Form	A solution or suspension used to bathe or flush open wounds or body cavities.
C89508	NCPDP StrengthForm Terminology	C42948	Jelly		Jelly Dosage Form	A semi-solid composed of suspensions of active and/or inert ingredient(s) in any type of highly viscous material, including gelatin or gel. The structural matrix of the jelly contains high levels of liquid.
C89508	NCPDP StrengthForm Terminology	C47916	Kit		Kit Dosage Form	A collection of unrelated materials that are used together to orchestrate dosage administration.
C89508	NCPDP StrengthForm Terminology	C42949	Liniment		Liniment Dosage Form	A semi-solid with viscosity similar to that of a lotion, which is intended for topical use and must be rubbed into the site of administration to release the active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C60931	Liposomal Injection		Liposomal Injection Dosage Form	A substance composed of active and/or inert ingredient(s) encapsulated in liposomes and intended for injection.
C89508	NCPDP StrengthForm Terminology	C42952	Lipstick		Lipstick Dosage Form	A solid or semi-solid with a waxy consistency in the shape of a stick and intended for use on the lips.
C89508	NCPDP StrengthForm Terminology	C42953	Liquid		Liquid Dosage Form	A substance in the fluid state of matter having no fixed shape but a fixed volume.
C89508	NCPDP StrengthForm Terminology	C42954	Liquid Filled Capsule		Liquid Filled Capsule Dosage Form	A capsule composed of liquid covered with an outer shell, which is usually prepared from gelatin.
C89508	NCPDP StrengthForm Terminology	C68953	Liquid Soap		Liquid Soap Dosage Form	A solution or suspension composed of an anionic surfactant used for cleansing.
C89508	NCPDP StrengthForm Terminology	C69068	Lollipop		Lollipop Dosage Form	A solid composed of a sugared, medicated candy mounted to a stick, which can be held while sucking or chewing on the candy.
C89508	NCPDP StrengthForm Terminology	C29167	Lotion		Lotion Dosage Form	A semi-solid composed of an oil in water emulsion, with lower viscosity than cream or gel.
C89508	NCPDP StrengthForm Terminology	C60958	Lotion Shampoo		Lotion Shampoo Dosage Form	A lotion composed of anionic surfactant intended for administration to the hair or scalp.
C89508	NCPDP StrengthForm Terminology	C42955	Lozenge		Lozenge Dosage Form	A solid composed of active and/or inert ingredient(s), sweeteners, other flavorings and mucilage, intended for oral administration.
C89508	NCPDP StrengthForm Terminology	C42956	Lyophilized Powder for Extended Release Injectable Suspension		Lyophilized Powder for Extended Release Injectable Suspension Dosage Form	A freeze dried powder intended for injection following reconstitution with a suitable solvent to form a suspension that is designed to release active and/or inert ingredient(s) at a controlled, prolonged rate so as to reduce dosing frequency.
C89508	NCPDP StrengthForm Terminology	C42959	Lyophilized Powder for Injectable Liposomal Suspension		Lyophilized Powder for Injectable Liposomal Suspension Dosage Form	A freeze dried powder composed of active and/or inert ingredient(s) encapsulated in liposomes and intended for injection following reconstitution with a suitable solvent to form a suspension.
C89508	NCPDP StrengthForm Terminology	C42957	Lyophilized Powder for Injectable Solution		Lyophilized Powder for Injectable Solution Dosage Form	A freeze dried powder intended for injection following reconstitution with a suitable solvent to form a solution.
C89508	NCPDP StrengthForm Terminology	C42958	Lyophilized Powder for Injectable Suspension		Lyophilized Powder for Injectable Suspension Dosage Form	A freeze dried powder intended for injection following reconstitution with a suitable solvent to form a suspension.
C89508	NCPDP StrengthForm Terminology	C68988	Medicated Adhesive Patch		Medicated Adhesive Patch Dosage Form	A solid composed of an impermeable occlusive backing, a formulation matrix in which the active and/or inert ingredient(s) are dissolved or dispersed and an adhesive layer. It is intended for external application.
C89508	NCPDP StrengthForm Terminology	C91144	Medicated Bar Soap		Medicated Bar Soap Dosage Form	A solid in the shape of a bar composed of active and inert ingredient(s) in an anionic surfactant, for cleansing.
C89508	NCPDP StrengthForm Terminology	C68958	Medicated Film		Medicated Film Dosage Form	A film composed of active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C91145	Medicated Liquid Soap		Medicated Liquid Soap Dosage Form	A liquid composed of active and inert ingredient(s) in an anionic surfactant, for cleansing.
C89508	NCPDP StrengthForm Terminology	C68957	Medicated Pad		Medicated Pad Dosage Form	A solid composed of active and/or inert ingredient(s) in a soft, non-adhesive and absorbent piece of fabric or other material.
C89508	NCPDP StrengthForm Terminology	C91146	Medicated Shampoo		Medicated Shampoo Dosage Form	A solution or suspension composed of active and inert ingredient(s) in an anionic surfactant and intended for administration to the hair and/or scalp.
C89508	NCPDP StrengthForm Terminology	C68952	Medicated Soap		Medicated Soap Dosage Form	A substance composed of active and/or inert ingredient(s) in an anionic surfactant, for cleansing.
C89508	NCPDP StrengthForm Terminology	C64901	Medicated Sponge		Medicated Sponge Dosage Form	A solid composed of a porous, interlacing, absorbent, usually shape retaining material that contains active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C68955	Medicated Swab		Medicated Swab Dosage Form	A solid composed of active and/or inert ingredient(s) on a small piece of absorbent material attached to one end of a stick.
C89508	NCPDP StrengthForm Terminology	C91147	Medicated Tape		Medicated Tape Dosage Form	A fabric or a narrow extruded synthetic material usually with an adhesive on one or both sides, impregnated with active and inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C64877	Membrane Coated Capsule		Membrane Coated Capsule Dosage Form	A capsule covered with a semipermeable film.
C89508	NCPDP StrengthForm Terminology	C64873	Membrane Coated Tablet		Membrane Coated Tablet Dosage Form	A tablet covered with a semipermeable film.
C89508	NCPDP StrengthForm Terminology	C42960	Metered Aerosol		Metered Aerosol Dosage Form	An aerosol contained in a device with valves that permits the release of a specified quantity of active and/or inert ingredient(s) upon activation.
